"id","number","name","fate"
"346","603058","永吉股份","9.66"
"347","601636","旗滨集团","8.55"
"348","601086","国芳集团","4.89"
"349","600862","中航高科","24.14"
"350","600794","保税科技","3.9"
"351","600531","豫光金铅","6.69"
"352","600488","津药药业","5.49"
"353","600477","杭萧钢构","4.02"
"354","600449","宁夏建材","17.35"
"355","600397","安源煤业","3.04"
"356","600355","精伦电子","3.39"
"357","600243","青海华鼎","4.43"
"358","301393","昊帆生物","93.99"
"359","301381","赛维时代","34.81"
"360","301370","国科恒泰","18.26"
"361","301363","美好医疗","42.2"
"362","301338","凯格精机","54.2"
"363","301336","趣睡科技","48"
"364","301333","诺思格","50.03"
"365","301311","昆船智能","27.13"
"366","301290","东星医疗","31.8"
"367","301286","侨源股份","29.54"
"368","301279","金道科技","27.8"
"369","301268","铭利达","36.6"
"370","301265","华新环保","12.47"
"371","301257","普蕊斯","56.25"
"372","301235","华康医疗","27.3"
"373","301227","森鹰窗业","29.03"
"374","301226","祥明智能","27.78"
"375","301225","恒勃股份","36.8"
"376","301206","三元生物","30.84"
"377","301192","泰祥股份","28.29"
"378","301187","欧圣电气","18.48"
"379","301177","迪阿股份","39.5"
"380","301175","中科环保","5.95"
"381","301122","采纳股份","34.52"
"382","301108","洁雅股份","35.99"
"383","301097","天益医疗","45.35"
"384","301092","争光股份","27.92"
"385","301070","开勒股份","44.83"
"386","301068","大地海洋","37.86"
"387","301045","天禄科技","29.17"
"388","301043","绿岛风","31.71"
"389","301029","怡合达","39.83"
"390","301007","德迈仕","18.2"
"391","301000","肇民科技","18.99"
"392","300998","宁波方正","29.97"
"393","300987","川网传媒","18.77"
"394","300979","华利集团","51.99"
"395","300971","博亚精工","25.96"
"396","300951","博硕科技","54.2"
"397","300950","德固特","22.25"
"398","300918","南山智尚","13.54"
"399","300896","爱美客","440.01"
"400","300860","锋尚文化","62.95"
"401","300855","图南股份","34.19"
"402","300854","中兰环保","17.45"
"403","300818","耐普矿机","27.06"
"404","300801","泰和科技","16.5"
"405","300782","卓胜微","121.97"
"406","300770","新媒股份","43.9"
"407","300765","新诺威","13.31"
"408","300732","设研院","10.13"
"409","300706","阿石创","25.75"
"410","300699","光威复材","29.56"
"411","300698","万马科技","26.03"
"412","300691","联合光电","16.97"
"413","300668","杰恩设计","20.67"
"414","300667","必创科技","19.2"
"415","300634","彩讯股份","27.82"
"416","300629","新劲刚","20.56"
"417","300610","晨化股份","11.51"
"418","300600","国瑞科技","11.92"
"419","300597","吉大通信","9.28"
"420","300581","晨曦航空","10.42"
"421","300578","会畅通讯","19.7"
"422","300567","精测电子","83.82"
"423","300538","同益股份","16.22"
"424","300534","陇神戎发","9.35"
"425","300523","辰安科技","22.84"
"426","300488","恒锋工具","22.54"
"427","300421","力星股份","11.11"
"428","300407","凯发电气","9.21"
"429","300394","天孚通信","106.7"
"430","300374","中铁装配","15.53"
"431","300340","科恒股份","12.72"
"432","300333","兆日科技","6.99"
"433","300321","同大股份","17.03"
"434","300319","麦捷科技","8.93"
"435","300311","任子行","5.99"
"436","300294","博雅生物","33.6"
"437","300289","利德曼","5.71"
"438","300256","ST星星","3.09"
"439","300195","长荣股份","6.34"
"440","300194","福安药业","3.9"
