"id","number","name","fate"
"834","300965","恒宇信通","49.91"
"835","300672","国科微","80.01"
"836","300467","迅游科技","18.13"
"837","300442","润泽科技","28.67"
"838","300248","新开普","9.51"
"839","300122","智飞生物","45.88"
"840","2932","明德生物","23.83"
"841","2913","奥士康","37.62"
"842","2896","中大力德","36.89"
"843","2893","京能热力","14.12"
"844","2818","富森美","14.75"
"845","2811","郑中设计","8.57"
"846","2755","奥赛康","8"
"847","2640","跨境通","3.47"
"848","2590","万安科技","12.8"
"849","2386","天原股份","6.29"
"850","2330","得利斯","5.84"
"851","2270","华明装备","12.05"
"852","2190","成飞集成","22.14"
"853","2167","东方锆业","7.41"
"854","852","石化机械","7.52"
"855","688","国城矿业","15.13"
"856","671","ST阳光城","0"
"857","663","永安林业","11.34"
"858","612","焦作万方","5.03"
"859","576","甘化科工","10.5"
"860","688543","国科军工","52.95"
"861","301396","宏景科技","33.89"
"862","301376","致欧科技","24.73"
"863","301315","威士顿","59.04"
"864","301211","亨迪药业","25.84"
"865","300939","秋田微","38.38"
"866","300654","世纪天鸿","12.22"
"867","300575","中旗股份","10.34"
"868","300522","世名科技","13.27"
"869","2945","华林证券","13.25"
"870","2740","*ST爱迪","2.87"
"871","2410","广联达","28.95"
"872","2225","濮耐股份","3.84"
"873","1229","魅视科技","31.94"
"874","536","华映科技","1.89"
"875","688443","智翔金泰","29.27"
"876","688246","嘉和美康","37.37"
"877","688097","博众精工","29.9"
"878","600965","福成股份","6.51"
"879","600316","洪都航空","22.62"
"880","301262","海看股份","31.51"
"881","300409","道氏技术","12.51"
"882","2395","双象股份","11.53"
"883","415","渤海租赁","2.17"
"884","603729","龙韵股份","16"
"885","301152","天力锂能","49.56"
"886","2791","坚朗五金","54.81"
"887","2378","章源钨业","6.17"
"888","688334","西高院","17.86"
"889","603499","翔港科技","9.8"
"890","600506","统一股份","10.92"
"891","300883","龙利得","6.51"
"892","300628","亿联网络","39.86"
"893","300588","熙菱信息","12.06"
"894","300564","筑博设计","12.84"
"895","300230","永利股份","3.7"
"896","300159","ST新研","3.17"
"897","2906","华阳集团","34.47"
"898","2719","麦趣尔","9.89"
"899","2688","金河生物","4.84"
"900","2247","聚力文化","2.12"
"901","301105","鸿铭股份","37.93"
"902","300830","金现代","9.01"
"903","300725","药石科技","47.36"
"904","300088","长信科技","6.19"
"905","2989","中天精装","16.52"
"906","2437","誉衡药业","2.09"
"907","603601","再升科技","4.39"
"908","603458","勘设股份","10.03"
"909","603335","迪生力","6.54"
"910","601001","晋控煤业","9.03"
"911","300647","超频三","7.21"
"912","300602","飞荣达","17.41"
"913","300403","汉宇集团","8.54"
"914","2957","科瑞技术","17.46"
"915","2639","雪人股份","8.24"
"916","1227","兰州银行","2.78"
"917","506","中润资源","4.59"
"918","603612","索通发展","17.36"
"919","601609","金田股份","6.75"
"920","301439","泓淋电力","18.73"
"921","301287","康力源","41.41"
"922","300884","狄耐克","12.6"
"923","300585","奥联电子","24.73"
"924","300520","科大国创","22.03"
"925","300478","杭州高新","10.73"
"926","300288","朗玛信息","17.6"
"927","719","中原传媒","10.51"
"928","688228","开普云","48.57"
"929","300966","共同药业","22.03"
"930","300640","德艺文创","6.27"
"931","300388","节能国祯","6.93"
"932","300378","鼎捷软件","35.9"
"933","300218","安利股份","9.63"
"934","300106","西部牧业","8.36"
"935","2890","弘宇股份","14.84"
"936","2681","奋达科技","4.93"
"937","2320","海峡股份","6.36"
"938","2253","川大智胜","14.1"
"939","2111","威海广泰","9.39"
"940","62","深圳华强","11.6"
"941","603330","天洋新材","10.16"
"942","601065","江盐集团","12.6"
"943","600292","远达环保","6.06"
"944","301355","南王科技","18.35"
"945","301089","拓新药业","62.57"
"946","300959","线上线下","35.3"
"947","300747","锐科激光","28.98"
"948","300096","易联众","6.05"
"949","2630","华西能源","2.51"
"950","2599","盛通股份","8.25"
"951","2476","宝莫股份","4.61"
"952","983","山西焦煤","8.85"
"953","5","ST星源","1.22"
"954","688472","阿特斯","16.14"
"955","301383","天键股份","39.49"
"956","301320","豪江智能","22.58"
"957","300810","中科海讯","21.28"
"958","300045","华力创通","11.24"
"959","2087","*ST新纺","2.21"
"960","59","华锦股份","6.19"
"961","688623","双元科技","88.96"
"962","301278","快可电子","59.5"
"963","301248","杰创智能","22.04"
"964","301196","唯科科技","36.43"
"965","300506","名家汇","6.93"
"966","300182","捷成股份","5.79"
"967","2649","博彦科技","14.32"
"968","2483","润邦股份","5.76"
"969","2429","兆驰股份","5.46"
"970","627","天茂集团","3.08"
"971","416","*ST民控","2.21"
"972","600719","大连热电","8.8"
"973","600063","皖维高新","5.37"
"974","300346","南大光电","32.12"
"975","2978","安宁股份","33.33"
"976","833455","汇隆活塞","3.5"
"977","605258","协和电子","27.41"
"978","605009","豪悦护理","44.89"
"979","301323","新莱福","50.26"
"980","301307","美利信","38.31"
"981","301099","雅创电子","54.6"
"982","301083","百胜智能","21.7"
"983","300936","中英科技","38.45"
"984","300723","一品红","27.5"
"985","300641","正丹股份","5.45"
"986","300584","海辰药业","22.48"
"987","300486","东杰智能","9.32"
"988","300008","天海防务","4.81"
"989","2576","通达动力","18.81"
"990","1286","陕西能源","10.15"
"991","2020","京新药业","12.13"
"992","301181","标榜股份","30.15"
"993","2150","通润装备","17.07"
"994","688570","天玛智控","27.48"
"995","301131","聚赛龙","39.54"
"996","300995","奇德新材","20.99"
"997","300849","锦盛新材","11.55"
"998","300483","首华燃气","12.18"
"999","300426","唐德影视","13.11"
"1000","300385","雪浪环境","6.35"
